"","app_name","category.x","price.x","rating.x","rating_count.x","size_bytes_Mb.x","player_age.x","version.x","source.x","category.y","price.y","rating.y","rating_count.y","size_bytes_Mb.y","player_age.y","version.y","source.y"
"78","DRAGON BALL Z DOKKAN BATTLE","Games",0,4,5362,111,"9+","3.0.1","apple","Games",0,4.1,"650114",80,"12+","3.11.0","google"
"79","Dragon Hills","Games",1.99,4.5,5508,167,"9+","1.2.1","apple","Games",0,4.5,"354373",66,"9+","1.2.7","google"
"80","DRAGON QUEST","Games",2.99,4.5,419,26,"9+","1.0.4","apple","Education",2.99,4.2,"9659",30,"4+","1.0.7","google"
"81","Driving Zone","Games",0,4,298,150,"4+","1.12","apple","Games",0,4.2,"51791",57,"4+","1.53","google"
"82","Dropbox","Productivity",0,3.5,49578,172,"4+","50.2","apple","Productivity",0,4.4,"1861310",61,"4+",NA,"google"
"83","Dubsmash","Entertainment",0,4.5,20243,96,"12+","2.21.0","apple","Photo and Video",0,4.2,"1971777",29,"12+","2.35.8","google"
"84","Dude Perfect","Games",0.99,4.5,9763,134,"4+","1.1.5","apple","Sports",0,4.5,"97",1.9,"4+","1.0","google"
"85","Dude Perfect 2","Games",0,4.5,28361,99,"4+","1.6.1","apple","Games",0,4.5,"401425",70,"4+","1.6.1","google"
"86","Dumb Ways to Die 2: The Games","Games",0,4,11295,99,"12+","1.7.2","apple","Education",0,4.2,"1671658",NA,"12+",NA,"google"
"87","Earn to Die 2","Games",1.99,4.5,3072,98,"12+","1.3","apple","Games",0,4.6,"1327265",99,"12+","1.3","google"
"88","Edmodo","Education",0,3.5,7197,122,"4+","5.9.2","apple","Education",0,4.1,"200058",18,"4+","9.12.5","google"
"89","Egg, Inc.","Games",0,5,79074,51,"4+","1.5","apple","Education",0,4.7,"580160",29,"4+","1.7.5","google"
"90","Endless Ducker","Games",0,4,639,152,"4+","1.0.2","apple","Games",0,4.5,"8193",41,"4+","1.0.7","google"
"91","Episode - Choose Your Story","Games",0,4.5,155903,174,"12+","6.20","apple","Games",0,4.3,"1841061",NA,"12+",NA,"google"
"92","Epson iPrint","Photo and Video",0,3,2838,51,"4+","6.3.1","apple","Utilities",0,4.1,"108169",NA,"4+",NA,"google"
"93","F-Sim Space Shuttle","Games",4.99,4.5,6403,73,"4+","2.10","apple","Education",4.99,4.4,"5427",NA,"4+",NA,"google"
"94","Facebook","Social Networking",0,3.5,2974676,372,"4+","95.0","apple","Social Networking",0,4.1,"78158306",NA,"12+",NA,"google"
"95","Fallout Shelter","Games",0,4.5,199396,1119,"12+","1.12","apple","Games",0,4.6,"2719142",25,"12+","1.13.12","google"
"96","Fandango Movies - Times + Tickets","Entertainment",0,4,291787,78,"4+","8.6","apple","Entertainment",0,4.6,"243747",NA,"12+",NA,"google"
"97","Farm Heroes Saga","Games",0,4.5,187579,250,"4+","2.72.16","apple","Games",0,4.4,"7614130",70,"4+","5.1.8","google"
"98","Farming Simulator 14","Games",0,4,3615,127,"4+","1.3.2","apple","Education",0,4.5,"530854",51,"4+","1.4.4","google"
"99","Farming Simulator 16","Games",4.99,4.5,2637,177,"4+","1.1.4","apple","Education",2.99,4.2,"32812",14,"4+","1.1.1.6","google"
"100","Fernanfloo","Games",0,4.5,2886,60,"9+","2.4","apple","Games",0,4.8,"526595",49,"9+","2.9","google"
"101","FINAL FANTASY BRAVE EXVIUS","Games",0,4.5,28187,104,"12+","2.1.2","apple","Games",0,4.6,"745684",83,"12+","3.0.2","google"
"102","FINAL FANTASY V","Games",14.99,4.5,1808,159,"9+","1.1.3","apple","Education",7.99,4.5,"15924",4.2,"12+","1.2.1","google"
"103","Firefox Focus: The privacy browser","Utilities",0,4,477,14,"17+","3.2","apple","Utilities",0,4.4,"36880",4,"4+","5.2","google"
"104","Fishdom","Games",0,4.5,39217,173,"4+","2.1.0","apple","Games",0,4.6,"2157930",NA,"4+","2.21.5","google"
"105","Fitbit","Health and Fitness",0,4,90496,127,"4+","2.36","apple","Health and Fitness",0,3.9,"357417",NA,"4+",NA,"google"
"106","Five Nights at Freddy's","Games",2.99,4.5,27388,48,"12+","1.0","apple","Games",2.99,4.6,"100805",50,"12+","1.85","google"
"107","Five Nights at Freddy's 2","Games",2.99,4.5,18107,36,"12+","1.0","apple","Education",2.99,4.6,"73919",40,"12+","1.07","google"
"108","Five Nights at Freddy's 3","Games",2.99,4.5,9876,46,"12+","1.3","apple","Games",2.99,4.7,"27856",50,"12+","1.07","google"
"109","Flow Free","Games",0,4.5,373857,20,"4+","2.9","apple","Games",0,4.3,"1295557",11,"4+","4.0","google"
"110","Fly Delta","Travel",0,3,8094,134,"4+","4.2.2","apple","Travel",0,3.7,"27560",46,"4+","4.13.2","google"
"111","Frozen Free Fall","Games",0,4.5,50593,260,"4+","5.2.1","apple","Education",0,4.3,"1574197",37,"4+","6.7.0","google"
"112","Fruit Ninja Classic","Games",1.99,4.5,698516,100,"4+","2.3.9","apple","Games",0.99,4.3,"85468",36,"4+","2.4.1.485300","google"
"113","Fruit Ninja®","Games",0,4.5,327025,156,"4+","2.5.1","apple","Games",0,4.3,"5091448",41,"4+","2.6.7.487220","google"
"114","Fuel Rewards® program","Shopping",0,4.5,2249,56,"4+","2.5.4","apple","Lifestyle",0,4.6,"32433",46,"4+","2.9.1","google"
"115","Gear.Club - True Racing","Games",0,4.5,2793,2276,"4+","1.12.1","apple","Games",0,4.4,"140658",37,"4+","1.21.2","google"
"116","Geocaching®","Navigation",0,3.5,12811,103,"4+","5.3","apple","Health and Fitness",0,4.1,"62616",NA,"12+",NA,"google"
"117","Geometry Dash Lite","Games",0,5,370370,66,"4+","2.11","apple","Games",0,4.5,"6181640",58,"4+","2.2","google"
"118","Geometry Dash Meltdown","Games",0,4.5,117470,53,"4+","1.0","apple","Games",0,4.6,"1591129",48,"4+","1.01","google"
"119","Geometry Dash World","Games",0,4.5,5114,61,"4+","1.0","apple","Games",0,4.6,"760628",63,"4+","1.03","google"
"120","Get 'Em","Games",0.99,4,40,686,"9+","1.0.8","apple","Games",0,4.1,"7904",21,"9+","1.6.7","google"
